Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60
7000000,85-01-01,London,ON,CAN,CAN,75,217,2003,1,11,R,Carter,Jeff,C/RW,L.A,82,32,34,22,12,66,2,2.4,41,1920,88717,1476.3,18.03,18.02,29.9,77.6,9.7,0.9,997,3.45,2.6,57,21,0.85
6000000,84-07-11,Plover,WI,USA,USA,71,190,2003,7,205,R,Pavelski,Joe,C/RW,S.J,81,29,39,23,16,68,11,6.1,34,1964,92910,1544.2,19.13,19.1,32.7,71.6,10.8,0.916,1024,3.69,2.06,64.2,42,1.63
925000,97-12-11,Scottsdale,AZ,USA,USA,74,202,2016,1,6,L,Tkachuk,Matthew,LW,CGY,76,13,35,25,10,48,14,7.1,105,1468,66854,1111.1,14.67,14.65,27.1,69.6,10.3,0.914,1018,3.73,2,65.1,32,1.73
727500,95-05-15,St. Petersburg,,RUS,RUS,73,224,2013,2,37,R,Zykov,Valentin,LW,CAR,2,1,0,0,0,1,1,0.3,0,16,750,12.5,6.25,6.25,13,100,7.7,1,1077,4.8,0,100,1,4.8
2500000,83-02-04,West Seneca,NY,USA,USA,71,195,2003,5,148,R,Stempniak,Lee,RW,CAR,82,16,24,13,11,40,2,0.8,32,1705,77952,1278.8,15.85,15.76,28,60.6,10.3,0.913,1016,3.1,2.3,57.4,17,0.8
1000000,89-11-02,Saskatoon,SK,CAN,CAN,74,229,2008,1,5,R,Schenn,Luke,D,ARI,78,1,7,2,5,8,-9,-19,85,1919,84469,1404.6,18.05,18.04,32.4,20.5,6.7,0.924,991,1.67,2.73,37.9,-25,-1.07
700000,89-07-25,Toronto,ON,CAN,CAN,76,225,2007,6,172,L,Gazdic,Luke,LW,N.J,11,0,0,0,0,0,-2,-1.3,12,113,4707,78.3,7.13,7.13,15.8,0,0,0.95,950,0,1.53,0,-2,-1.53
2350000,88-12-01,Villach,,AUT,AUT,72,200,,,,L,Raffl,Michael,LW/C,PHI,52,8,3,2,1,11,-7,-2.3,20,986,41378,690.2,13.27,13.27,26.4,57.9,5.5,0.92,974,1.65,2.26,42.2,-7,-0.61
2750000,90-11-13,New Westminster,BC,CAN,CAN,76,230,,,,L,Dillon,Brenden,D,S.J,81,2,8,1,7,10,-2,6.7,60,1795,80031,1324.5,16.38,16.4,29.6,28.6,5.7,0.923,979,1.59,2.04,43.8,-10,-0.45
925000,97-09-17,Scottsdale,AZ,USA,USA,75,216,2016,1,1,L,Matthews,Auston,C,TOR,82,40,29,20,9,69,2,7.6,14,1894,86745,1440.5,17.53,17.58,31.1,81.2,9.6,0.923,1018,3.54,2.21,61.6,32,1.33
7450000,89-12-08,London,ON,CAN,CAN,73,195,2008,1,2,R,Doughty,Drew,D,L.A,82,12,32,16,16,44,8,10.4,46,2657,133550,2218.9,27.15,27.12,44.9,45.4,8.2,0.922,1005,2.62,1.97,57.1,24,0.65
5400000,94-10-27,Turku,,FIN,FIN,76,203,2013,1,8,R,Ristolainen,Rasmus,D,BUF,79,6,39,17,22,45,-9,-4.4,58,2341,125458,2073.2,26.47,26.39,43.8,45,9.4,0.922,1016,2.89,2.89,50,0,0
750000,95-03-22,Delta,BC,CAN,CAN,69,179,2013,2,43,L,Petan,Nic,LW/C,WPG,54,1,12,8,4,13,-13,-2.2,12,805,35316,574.9,10.9,10.82,20.5,56.5,8.4,0.91,994,2.4,2.19,52.3,2,0.21
575000,92-10-14,St. Louis,MO,USA,USA,76,224,2011,2,34,R,Mayfield,Scott,D,NYI,25,2,7,3,4,9,-1,-0.9,35,430,21210,353.4,14.13,14.14,27.2,45,11,0.887,997,3.4,3.57,48.8,-1,-0.17
925000,96-05-10,Syracuse,NY,USA,USA,76,222,2014,1,18,R,Tuch,Alex,RW,MIN,6,0,0,0,0,0,-3,0.1,0,86,3853,64.2,10.7,10.7,20.5,0,2.9,0.889,917,0.93,3.74,20,-3,-2.8
925000,93-07-13,Chicago,IL,USA,USA,74,193,2011,4,98,L,Reilly,Mike,D,MIN,17,1,0,0,0,1,1,1.7,2,270,12629,210.4,12.38,12.38,23.2,11.1,7.3,0.923,996,2.57,2.28,52.9,1,0.29
3000000,81-04-11,Pincourt,QC,CAN,CAN,73,197,,,,L,Burrows,Alex,LW/RW,OTT/VAN,75,15,16,10,6,31,3,-5.5,62,1587,65910,1096.3,14.63,14.63,26.2,68.9,8.8,0.913,1000,2.46,2.85,46.4,-7,-0.38
650000,92-07-18,Wisconsin Rapids,WI,USA,USA,73,190,,,,R,Nelson,Casey,D,BUF,11,0,0,0,0,0,-3,-0.5,4,217,8319,138.2,12.6,12.59,23.5,0,4.7,0.924,971,1.3,2.17,37.5,-2,-0.87
575000,90-07-03,Vasteras,,SWE,SWE,75,205,,,,L,Rasmussen,Dennis,C,CHI,68,4,4,4,0,8,-4,1.3,12,1256,48254,803.8,11.83,11.83,21.7,44.4,5.3,0.927,981,1.34,2.39,36,-14,-1.05
725000,87-03-15,Moorhead,MN,USA,USA,74,190,2005,4,97,L,VandeVelde,Chris,C/LW,PHI,81,6,9,3,6,15,-5,-3.3,16,1372,56187,935.2,11.57,11.56,21.5,83.3,5.8,0.909,966,1.15,2.82,29,-26,-1.67
3000000,90-05-24,Borlange,,SWE,SWE,76,215,2009,4,102,L,Ekholm,Mattias,D,NSH,82,3,20,6,14,23,4,6.4,34,2330,115415,1915.7,23.45,23.42,39.5,32.9,7.5,0.921,996,2.19,2.32,48.6,-4,-0.13
950000,90-06-04,Prince George,BC,CAN,CAN,73,205,,,,L,Manning,Brandon,D,PHI,65,3,9,4,5,12,-12,-2.9,83,1657,70419,1173.5,18.05,18.05,31.8,33.3,6.7,0.905,972,1.84,2.86,39.1,-20,-1.02
3000000,86-10-12,Charlottetown,PE,CAN,CAN,76,212,2005,2,55,R,Mcquaid,Adam,D,BOS,77,2,8,4,4,10,4,4.4,71,1936,84300,1394.9,18.12,18.16,32.9,20.8,7.2,0.906,978,2.06,2.71,43.2,-15,-0.65
1250000,90-07-02,Burnsville,MN,USA,USA,70,169,,,,R,Brown,J.T.,RW,T.B,64,3,3,1,2,6,-7,-2.4,73,962,39824,663,10.37,10.37,19.3,54.5,4,0.92,960,1,2.44,28.9,-16,-1.45
575000,88-06-04,Pittsburgh,PA,USA,USA,73,196,2008,7,190,L,Bartkowski,Matt,D,CGY,24,1,1,0,1,2,-4,-5.2,26,523,22158,368.9,15.38,15.38,28.5,15.4,8.7,0.913,1000,2.11,3.09,40.6,-6,-0.98
600000,89-11-01,Paris,ON,CAN,CAN,74,199,2008,2,45,R,Dalpe,Zac,C,MIN,9,1,2,0,2,3,0,-0.5,9,121,4620,77,8.55,8.55,18.2,60,16.1,0.868,1030,3.9,3.9,50,0,0
4000000,72-02-15,Kladno,,CZE,CZE,75,230,1990,1,5,L,Jagr,Jaromir,RW,FLA,82,16,30,20,10,46,2,4.2,56,1727,83639,1387.9,17,16.98,30.5,60.5,8.2,0.921,1002,3.29,2.12,60.8,27,1.17
575000,87-01-01,Taber,AB,CAN,CAN,72,205,2005,1,8,R,Setoguchi,Devin,RW,L.A,45,4,8,4,4,12,-5,4.2,14,784,33593,557.7,12.45,12.43,23.6,57.1,6.7,0.906,973,2.26,2.37,48.8,-1,-0.11
625000,93-05-21,Canton,MA,USA,USA,74,190,,,,L,Rooney,Kevin,C,N.J,4,0,0,0,0,0,-3,-0.7,4,56,2445,40.8,10.18,10.19,20.4,0,0,0.826,826,0,5.89,0,-4,-5.89
735000,92-11-05,Long Beach,CA,USA,USA,71,190,2011,2,47,L,Nieto,Matt,LW/RW,COL/S.J,59,7,6,3,3,13,-12,1.1,8,1213,52834,874,14.83,14.86,26.3,72.2,4.6,0.903,949,1.24,2.88,30,-24,-1.65
575000,90-08-16,Montrose,BC,CAN,CAN,69,176,,,,L,Jones,Connor,C/LW,NYI,4,0,0,0,0,0,1,-0.6,2,65,2843,47.4,11.85,11.85,21.4,0,5.9,1,1059,1.27,0,100,1,1.27
640000,90-06-13,B_rum,,NOR,NOR,75,220,,,,L,Martinsen,Andreas,LW/C,COL/MTL,64,3,4,3,1,7,-14,-10.1,32,955,38220,636.7,9.95,9.95,18.7,70,4.4,0.919,963,0.94,2.64,26.3,-18,-1.7
800000,92-11-16,Rochester,NY,USA,USA,71,185,2011,2,61,L,Prince,Shane,LW/C,NYI,50,5,13,7,6,18,-9,-1.1,18,862,38912,647,12.97,12.96,23.7,72,7.9,0.905,984,2.32,2.87,44.6,-6,-0.56
925000,95-04-08,Northbrook,IL,USA,USA,72,193,2013,2,35,R,Compher,J.T.,LW/C,COL,21,3,2,1,1,5,0,1,4,415,18811,313.5,14.93,14.93,25.9,41.7,9.3,0.923,1016,2.3,2.11,52.2,1,0.19
4000000,83-04-01,Kalajoki,,FIN,FIN,71,198,2001,6,192,L,Jokinen,Jussi,LW/RW/C,FLA,69,11,17,11,6,28,-15,-1.2,39,1598,72080,1197.6,17.42,17.39,29.4,60.9,6.7,0.911,977,2.3,2.66,46.5,-7,-0.35
5750000,92-10-27,Pittsburgh,PA,USA,USA,73,206,2011,2,43,L,Saad,Brandon,LW/RW,CBJ,82,24,29,18,11,53,23,12.6,8,1888,83786,1395.6,17.03,17.03,29.3,75.7,9,0.935,1025,3.01,1.63,64.8,32,1.38
892500,91-12-01,Johnston,RI,USA,USA,70,208,,,,R,Acciari,Noel,C,BOS,29,2,3,1,2,5,3,0.5,16,431,18047,300.5,10.23,10.32,20.8,55.6,7.6,0.959,1035,1.8,1.2,60,3,0.6
7250000,87-04-24,Montreal,QC,CAN,CAN,72,201,2005,3,62,R,Letang,Kris,D,PIT,41,5,29,9,20,34,2,8.9,32,1207,62774,1041.3,25.52,25.48,43,55.7,9.6,0.904,999,3.51,3,54,9,0.52
3500000,80-02-10,Montreal,QC,CAN,CAN,72,179,1998,2,45,L,Ribeiro,Mike,C,NSH,46,4,21,10,11,25,-5,-0.2,14,927,44077,732,15.97,15.95,28.3,67.6,8.5,0.919,1004,3.03,2.46,55.2,7,0.57
575000,90-05-30,Marshfield,MA,USA,USA,69,170,2008,4,95,L,Warsofsky,David,D,PIT,7,0,1,1,0,1,-3,-1,6,158,6608,109.6,15.73,15.71,28.2,20,7.7,0.894,971,2.74,3.83,41.7,-2,-1.09
10900000,87-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,L,Crosby,Sidney,C,PIT,75,44,45,28,17,89,17,18.4,24,1852,89450,1489.6,19.88,19.87,34.1,74.2,11.4,0.917,1031,4.83,2.38,67,61,2.46
667500,97-01-02,Sault Ste. Marie,ON,CAN,CAN,71,185,2015,3,67,R,Speers,Blake,C,N.J,3,0,0,0,0,0,0,0.3,0,43,1707,28.4,9.48,9.48,17.4,0,0,1,1000,0,0,0,0,0
832500,95-02-04,Hamilton,ON,CAN,CAN,76,220,2013,1,7,L,Nurse,Darnell,D,EDM,44,5,6,2,4,11,0,-1.7,33,962,44927,744.2,17.02,16.98,30.9,37.9,7.8,0.917,995,2.34,2.9,44.6,-7,-0.56
8000000,91-12-13,Yaroslavl,,RUS,RUS,72,219,2010,1,16,L,Tarasenko,Vladimir,RW,STL,82,39,36,18,18,75,-1,4.1,12,2064,90872,1508.7,18.47,18.45,31.8,77.3,11,0.913,1024,3.86,2.19,63.8,42,1.67
692500,95-08-02,Zilina,,SVK,SVK,74,202,2013,3,90,L,Cehlarik,Peter,LW/RW,BOS,11,0,2,1,1,2,0,0.4,0,197,9183,153,13.92,13.91,26.4,25,10.4,0.897,1000,3.14,2.35,57.1,2,0.78
3500000,84-10-29,Thunder Bay,ON,CAN,CAN,76,208,2003,1,2,L,Staal,Eric,C,MIN,82,28,37,24,13,65,17,17.7,34,1926,91548,1521,18.6,18.59,31,72.2,10.2,0.916,1018,3.55,2.41,59.6,29,1.14
900000,92-04-20,Swan River,MB,CAN,CAN,74,208,2010,5,133,L,Ferland,Micheal,LW/RW,CGY,76,15,10,6,4,25,-1,-1.4,50,1291,52736,878.6,11.57,11.56,22.7,67.6,8.8,0.921,1010,2.53,2.32,52.1,3,0.2
575000,89-01-21,North Andover,MA,USA,USA,70,190,,,,L,Farnham,Bobby,RW,MTL,3,0,0,0,0,0,0,-0.3,17,43,1489,24.7,8.27,8.26,16.5,0,0,1,1000,0,0,0,0,0
600000,91-05-17,Pickering,ON,CAN,CAN,73,210,2011,3,80,L,Andreoff,Andy,LW/C,L.A,36,0,2,2,0,2,-2,0.5,70,527,22888,381.1,10.6,10.59,20.7,33.3,3.5,0.939,973,0.94,1.42,40,-3,-0.47
705000,94-01-07,Ottawa,ON,CAN,CAN,72,212,2013,7,206,R,Weegar,Mackenzie,D,FLA,3,0,0,0,0,0,0,0.1,4,62,3140,52.3,17.45,17.44,29.9,0,8,0.957,1037,2.29,1.15,66.7,1,1.15
900000,96-10-31,Stockholm,,SWE,SWE,73,184,2015,2,45,R,Forsbacka Karlsson,Jakob,C,BOS,1,0,0,0,0,0,0,0.4,0,13,505,8.4,8.42,8.42,16,0,0,1,1000,0,0,0,0,0
8000000,84-06-16,Brampton,ON,CAN,CAN,76,212,2002,1,1,L,Nash,Rick,RW/LW,NYR,67,23,15,13,2,38,9,0.4,26,1656,66186,1101.7,16.47,16.46,27.5,63.3,11,0.919,1029,3.27,2.51,56.6,14,0.76
4000000,90-06-07,Winnipeg,MB,CAN,CAN,75,210,2008,3,69,R,Stone,Michael,D,ARI/CGY,64,3,12,6,6,15,0,-13.1,32,1705,76099,1264.2,19.82,19.8,34.2,34.1,8.5,0.925,1010,2.09,2.47,45.8,-8,-0.38
575000,90-05-18,Roseau,MN,USA,USA,70,184,2008,2,40,L,Ness,Aaron,D,WSH,2,0,0,0,0,0,-1,-0.3,0,33,1540,25.7,12.83,12.83,24.3,0,0,0.923,923,0,2.34,0,-1,-2.34
1850000,90-07-18,Lycksele,,SWE,SWE,72,180,,,,R,Karlsson,Melker,C/RW,S.J,67,11,11,5,6,22,7,1.4,22,1337,51459,855.9,12.8,12.79,23.4,78.6,8.5,0.922,1006,1.96,2.24,46.7,-4,-0.28
2500000,87-05-07,Edmonton,AB,CAN,CAN,72,190,,,,L,Schlemko,David,D,S.J,62,2,16,8,8,18,4,7.2,14,1391,62297,1029.9,16.62,16.66,29.3,42.9,7.6,0.921,997,2.45,1.81,57.5,11,0.64
740000,95-08-04,Ottawa,ON,CAN,CAN,73,206,2013,3,69,R,Baptiste,Nicholas,RW,BUF,14,3,1,0,1,4,1,-1.4,6,190,7761,129.3,9.23,9.24,17.8,66.7,10.9,0.96,1069,2.79,1.39,66.7,3,1.39
800000,91-03-17,Omsk,,RUS,RUS,75,200,,,,L,Kalinin,Sergey,C/RW,N.J,43,2,2,2,0,4,-14,-4,15,800,33008,540.8,12.63,12.67,23.2,80,2.8,0.902,930,0.55,3.33,14.3,-25,-2.77
667500,96-03-13,Calgary,AB,CAN,CAN,70,166,2014,3,79,R,Point,Brayden,C,T.B,68,18,22,8,14,40,4,1.3,14,1417,69898,1164.3,17.13,17.13,30.4,54.8,11.4,0.917,1031,3.76,2.22,62.9,30,1.55
4000000,86-09-29,Alfred,ON,CAN,CAN,75,204,2005,1,4,L,Pouliot,Benoit,LW,EDM,67,8,6,5,1,14,-5,-3.5,34,1362,56497,941.6,14.05,14.05,24.7,51.9,6,0.924,984,1.72,2.23,43.5,-8,-0.51
700000,91-07-17,Wakaw,SK,CAN,CAN,72,189,2009,4,96,R,Vey,Linden,RW/C,CGY,4,0,0,0,0,0,-2,0.8,0,60,2644,44,11.02,11.01,20.7,0,0,0.882,882,0,2.73,0,-2,-2.73
7000000,90-05-31,Landsbro,,SWE,SWE,72,191,2008,1,15,R,Karlsson,Erik,D,OTT,77,17,54,25,29,71,10,7,28,2425,123989,2054.1,26.83,26.78,44.3,66.4,9.5,0.918,1013,3.13,2.37,56.9,26,0.76
5000000,91-06-03,Jyv_skyl_,,FIN,FIN,70,183,2009,4,106,R,Vatanen,Sami,D,ANA,71,3,21,9,12,24,3,1.5,30,1806,92289,1530.2,21.67,21.63,36.6,32,9.4,0.936,1030,2.94,1.88,61,27,1.06
9000000,87-10-02,Madison,WI,USA,USA,72,202,2006,1,5,R,Kessel,Phil,RW/C,PIT,82,23,47,25,22,70,3,-5.1,20,1797,88259,1458.7,17.93,17.89,31.5,69.3,10.9,0.935,1044,4.15,1.93,68.2,54,2.22
925000,95-12-30,Moscow,,RUS,RUS,74,190,2014,1,26,L,Scherbak,Nikita,RW,MTL,3,1,0,0,0,1,1,-0.3,0,50,2048,34.1,11.38,11.38,21,50,15.4,1,1154,3.52,0,100,2,3.52
4000000,93-03-01,Leksand,,SWE,SWE,74,200,2011,2,42,L,Rask,Victor,C,CAR,82,16,29,11,18,45,-10,-2.8,16,1863,85088,1398.4,17.3,17.22,29.7,67.2,8.5,0.906,991,2.87,2.66,51.9,5,0.21
600000,95-04-10,Herning,,DNK,DNK,72,175,2013,3,89,R,Bjorkstrand,Oliver,RW,CBJ,26,6,7,4,3,13,4,6.1,6,483,21980,366.2,14.08,14.09,25.7,56.5,10.4,0.906,1011,3.77,2.13,63.9,10,1.64
725000,85-03-06,Le Blanc-Mesnil,,FRA,FRA,72,198,,,,L,Bellemare,Pierre-Edouard,LW/C,PHI,82,4,4,3,1,8,-1,-3.9,20,1552,63814,1061.8,12.97,12.96,23.4,38.1,5.9,0.908,967,1.19,2.83,29.6,-29,-1.64
925000,95-04-20,New Haven,CT,USA,USA,73,214,2013,2,33,L,Erne,Adam,LW,T.B,26,3,0,0,0,3,-9,0.9,11,441,18419,305.9,11.8,11.79,22.4,60,3.4,0.904,938,0.98,2.55,27.8,-8,-1.57
792500,94-03-14,East Longmeadow,MA,USA,USA,69,201,,,,L,Vatrano,Frank,C/LW,BOS,44,10,8,2,6,18,-3,1.9,14,817,35581,591.4,13.4,13.44,24.7,69.2,7.1,0.914,985,2.64,1.93,57.8,7,0.71
832500,94-01-09,Vitkov,,CZE,CZE,75,210,2012,1,13,L,Faksa,Radek,C,DAL,80,12,21,13,8,33,-6,0.2,67,1937,77628,1292.9,16.17,16.17,28.1,66,8.3,0.889,972,2.32,3.53,39.7,-26,-1.21
2950000,87-01-23,Narva,,EST,FIN,71,210,2006,6,180,L,Komarov,Leo,C/LW,TOR,82,14,18,11,7,32,6,-2.3,31,2067,84002,1394.1,16.97,17.01,28.7,40,11.6,0.912,1028,3.44,2.8,55.2,15,0.65
4250000,93-06-17,Maykop,,RUS,RUS,71,178,2011,2,58,L,Kucherov,Nikita,RW,T.B,74,40,45,28,17,85,13,4.5,38,1735,86320,1428.1,19.43,19.39,34.1,82.5,12,0.912,1032,4.33,2.18,66.5,51,2.14
875000,94-11-09,Salem,MA,USA,USA,76,203,2013,2,61,L,Sanford,Zach,LW,STL/WSH,39,4,4,1,3,8,2,-1.8,10,601,25370,422.79,10.85,10.84,20.8,61.5,7.1,0.952,1023,1.84,1.42,56.5,3,0.43
625000,93-01-04,Wallaceburg,ON,CAN,CAN,69,191,2012,5,131,R,Griffith,Seth,C/RW,FLA/TOR,24,0,5,4,1,5,6,-0.4,8,421,18337,305.5,12.73,12.73,24.8,35.7,7.7,0.973,1049,2.75,0.79,77.8,10,1.96
575000,95-02-03,Moscow,,RUS,RUS,68,170,,,,L,Tolchinsky,Sergey,LW,CAR,2,0,1,1,0,1,0,-0.2,0,29,1377,23,11.48,11.48,21.1,100,5.6,0.941,997,2.61,2.61,50,0,0
625000,88-09-24,Ann Arbor,MI,USA,USA,71,192,2007,4,93,R,Kampfer,Steven,D,FLA/NYR,11,1,1,1,0,2,-2,-2.4,6,215,8750,145.3,13.25,13.24,25.9,50,5.2,0.927,979,1.65,2.48,40,-2,-0.83
4000000,86-06-14,Ilderton,ON,CAN,CAN,70,185,,,,R,Read,Matt,RW/LW,PHI,63,10,9,7,2,19,3,0.6,8,1219,52146,866.1,13.8,13.78,25.1,67.9,6.8,0.93,998,1.94,1.8,51.9,2,0.14
2500000,91-10-15,Warroad,MN,USA,USA,75,206,2010,1,30,L,Nelson,Brock,C/LW,NYI,81,20,25,14,11,45,-6,-7.7,36,1730,76050,1267.8,15.65,15.65,26.8,71.4,10.2,0.906,1008,2.98,2.84,51.2,3,0.14
675000,89-04-28,Grand Rapids,MI,USA,USA,71,199,,,,R,Glendening,Luke,C/RW/LW,DET,74,3,11,9,2,14,-10,-3,26,1459,57343,953.6,12.92,12.91,23.3,73.7,5.7,0.913,970,1.2,2.96,28.8,-28,-1.76
900000,92-02-08,Stockholm,,SWE,SWE,75,215,2010,2,41,L,Nemeth,Patrik,D,DAL,40,0,3,2,1,3,-4,2.5,14,839,37869,630.2,15.78,15.77,29,15.8,6.1,0.911,972,1.81,2.86,38.8,-11,-1.05
1050000,91-04-24,Sundsvall,,SWE,SWE,72,184,2009,2,40,L,Lander,Anton,C/LW/RW,EDM,22,1,3,1,2,4,2,-0.4,6,351,12902,214.9,9.77,9.77,17.4,44.4,10.1,0.9,1001,2.51,3.07,45,-2,-0.56
1100000,92-01-30,Ottawa,ON,CAN,CAN,70,184,2010,2,45,L,Spooner,Ryan,C/LW,BOS,78,12,28,14,14,39,-8,1,14,1440,65964,1096.5,14.07,14.07,25.2,60,9.3,0.903,996,3.56,2.3,60.7,23,1.26
925000,96-08-17,New Westminster,BC,CAN,CAN,73,229,2014,1,6,R,Virtanen,Jake,RW,VAN,10,0,1,0,1,1,1,-0.8,2,157,6087,101.4,10.15,10.14,20,100,3.1,1,1031,0.59,0,100,1,0.59
650000,92-05-01,De Pere,WI,USA,USA,71,188,2011,6,171,L,McCormick,Max,RW/LW/C,OTT,7,0,0,0,0,0,-3,-1.1,0,72,2839,47.3,6.77,6.76,13.6,0,0,0.906,906,0,3.8,0,-3,-3.8
3850000,91-05-24,Winnipeg,MB,CAN,CAN,72,190,2009,3,85,L,Eakin,Cody,C,DAL,60,3,9,7,2,12,-7,1.2,49,1470,60535,1007.7,16.82,16.81,29,42.9,5.7,0.896,953,1.67,3.16,34.6,-25,-1.49
9000000,84-07-28,Minneapolis,MN,USA,USA,71,196,2003,1,17,L,Parise,Zach,LW,MIN,69,19,23,17,6,42,-3,10.3,30,1541,72156,1197.9,17.43,17.41,29.3,64.6,9.1,0.91,1001,3.26,2.7,54.6,11,0.55
925000,97-02-25,Burnsville,MN,USA,USA,73,191,2015,1,23,R,Boeser,Brock,RW,VAN,9,4,1,1,0,5,0,0.8,0,188,8755,145.9,16.22,16.22,29.1,62.5,9.3,0.905,998,3.29,2.47,57.1,2,0.82
700000,90-12-04,Vaughan,ON,CAN,CAN,70,193,2009,5,147,L,Varone,Phil,C,OTT,7,0,0,0,0,0,-3,-0.7,2,82,3351,55.9,7.95,7.97,16.9,0,0,0.917,917,0,3.22,0,-3,-3.22
742500,93-03-26,Helsinki,,FIN,FIN,74,195,,,,L,Hannikainen,Markus,LW,CBJ,10,1,1,0,1,2,0,1.7,6,135,5476,91.2,9.13,9.13,17.3,50,9.8,0.875,973,2.63,3.29,44.4,-1,-0.66
925000,94-11-30,Eisenstadt,,AUT,SVK,71,212,2013,1,27,L,Dano,Marko,C/LW/RW,WPG,38,4,7,3,4,11,0,0.2,10,589,24361,405.7,10.68,10.68,20.8,73.3,7.7,0.951,1028,2.22,1.18,65.2,7,1.04
4250000,89-09-01,Halmstad,,SWE,SWE,71,184,2008,4,121,L,Nyquist,Gustav,RW/C/LW,DET,76,12,36,22,14,48,0,4.2,18,1675,79502,1299.3,17.42,17.32,30.3,70.6,9.5,0.911,1006,3.14,2.36,57.1,17,0.79
667500,94-08-08,Prague,,CZE,CZE,71,176,2015,5,137,L,Simon,Dominik,C,PIT,2,0,1,1,0,1,-1,-0.4,0,41,1565,26.1,13.05,13.05,24.6,100,12.5,0.867,992,2.3,4.6,33.3,-1,-2.3
8000000,84-05-01,Minneapolis,MN,USA,USA,75,221,2003,2,62,R,Backes,David,RW/C,BOS,74,17,21,12,9,38,2,10,69,1571,76007,1264.1,17.05,17.08,29.9,58.5,8.4,0.897,981,3.09,2.52,55.1,12,0.57
635000,93-02-26,Toronto,ON,CAN,CAN,74,215,,,,L,Goodrow,Barclay,RW/C,S.J,3,0,1,0,1,1,0,-1.1,0,54,2035,33.9,11.3,11.3,21.5,,0,1,1000,0,0,0,0,0
3650000,89-10-06,Edmonton,AB,CAN,CAN,69,175,2008,1,26,L,Ennis,Tyler,LW/C/RW,BUF,51,5,8,5,3,13,-10,-3.3,12,809,39278,653.5,12.83,12.83,23.7,56.5,6.2,0.931,993,2.11,2.02,51.1,1,0.09
3750000,92-12-07,Phoenix,AZ,USA,CAN,75,211,2011,1,8,L,Couturier,Sean,C,PHI,66,14,20,10,10,34,12,9.8,33,1635,73045,1216.4,18.45,18.44,31.1,60.7,8.5,0.9,985,2.76,2.71,50.5,1,0.05
6075000,82-02-14,Trencin,,SVK,SVK,73,205,2000,1,3,L,Gaborik,Marian,RW,L.A,56,10,11,9,2,21,-4,9.4,18,1072,49693,827.7,14.78,14.78,26.5,60,7.3,0.919,992,2.54,2.03,55.6,7,0.51
950000,90-02-23,Edmonton,AB,CAN,CAN,74,205,2009,3,83,L,Connauton,Kevin,D,ARI,24,0,1,1,0,1,-1,-3.9,24,443,18910,315.2,13.13,13.13,24.4,10,7.5,0.924,999,1.9,2.67,41.7,-4,-0.76
925000,96-09-13,Kramfors,,SWE,SWE,74,202,2014,1,29,L,Kempe,Adrian,LW/C,L.A,25,2,4,3,1,6,-3,0.5,6,433,18346,305.6,12.23,12.23,22.2,60,6.6,0.92,986,1.96,1.77,52.6,1,0.2
2750000,82-04-03,Edmonton,AB,CAN,CAN,74,214,2000,6,194,R,Engelland,Deryk,D,CGY,81,4,12,6,6,16,2,-11.7,85,1943,89083,1480,18.33,18.31,32.9,35.6,8,0.917,997,1.82,2.84,39.1,-25,-1.01
5000000,81-03-05,Minneapolis,MN,USA,USA,73,200,2000,2,62,L,Martin,Paul,D,S.J,81,4,22,5,17,26,10,1.2,20,2021,93441,1552.3,19.23,19.21,34,42.6,8.1,0.918,999,2.36,2.59,47.7,-6,-0.23
5000000,87-11-12,Edmonton,AB,CAN,CAN,72,191,2006,1,12,R,Little,Bryan,C/RW,WPG,59,21,26,16,10,47,-7,4,18,1455,62152,1019.5,17.55,17.46,30.2,73.4,10.9,0.884,993,3.77,3.41,52.5,6,0.35
11000000,89-05-13,Toronto,ON,CAN,CAN,72,210,2007,2,43,R,Subban,P.K.,D,NSH,66,10,30,13,17,40,-8,10.4,44,1860,96640,1603.1,24.4,24.36,40.7,52.6,8.9,0.896,986,2.84,2.81,50.3,1,0.04
600000,93-04-27,Brampton,ON,CAN,CAN,77,212,2011,7,191,L,Graovac,Tyler,C,MIN,52,7,2,1,1,9,7,-4.3,10,739,30703,511.5,9.83,9.84,19.3,50,9.4,0.962,1055,2.11,1.29,62.1,7,0.82
6000000,88-03-21,Bloomington,MN,USA,USA,76,225,2006,1,1,R,Johnson,Erik,D,COL,46,2,15,7,8,17,-6,-1.2,9,1351,60945,1010.4,22.07,22.04,36.8,44.7,7.6,0.883,959,2.26,3.68,38,-24,-1.43
950000,91-02-22,Prague,,CZE,CZE,75,200,2009,3,75,L,Nestrasil,Andrej,C/RW/LW,CAR,19,1,4,3,1,5,-3,0,2,290,12430,207.2,10.9,10.9,21.6,83.3,5.6,0.89,946,1.74,2.61,40,-3,-0.87
